titulo,seccion,emocionalidad,z_emo
Una madre para todas las luchas,el-pais,4.400965213775635,2.072695802591296
Trapitos al sol: crece la guerra entre el PRO y los libertarios en territorio porteño,el-pais,4.548548221588135,2.2483380833936515
Feria del Libro de Derechos Humanos en la ex ESMA,el-pais,4.378331661224365,2.0457590376365147
El recuerdo de Cristina a 75 años del nacimiento de Néstor Kirchner,el-pais,4.394798755645752,2.0653569443686686
Ficha Limpia: Así votó cada diputado,el-pais,4.657159805297852,2.3775994839240377
Rosca de último momento para Ficha Limpia,el-pais,4.617977142333984,2.330967202925759
Cómo votó cada diputado la suspensión de las PASO,el-pais,4.44857931137085,2.129362547794067
La marcha antifascista y antirracista en fotos,el-pais,4.587499618530273,2.294695128833782
La marcha antifascista y antirracista en fotos,el-pais,4.587499618530273,2.294695128833782
Navidad frente al Congreso,el-pais,4.383913993835449,2.052402713263819
En nuestro Pesebre,el-pais,4.364110946655273,2.028834604542375
Así votó cada senador la expulsión de Edgardo Kueider,el-pais,4.56734037399292,2.2707031006031895
El discurso completo de Cristina Kirchner en su asunción como presidenta del Partido Justicialista,el-pais,4.690743446350098,2.4175682269351455
Homenaje a los 12 de la Santa Cruz a 47 años de su secuestro y desaparición,el-pais,4.475594997406006,2.1615146009537622
Paupérrima oposición,negrx,1.572637677192688,-2.2331981861002297
Ilegales y desconectados,negrx,1.126911163330078,-2.7218476261642315
"Macron promete memoria, pero niega justicia",negrx,1.5791600942611694,-2.226047668127319
Ataque a practicantes de vudú en Haití deja al menos 184 muertos,negrx,1.3048452138900757,-2.526778740939102
Falsas solidaridades con Venezuela,negrx,1.15099835395813,-2.6954408681028506
"Errores de adentro, ataques de afuera",negrx,1.6124732494354248,-2.189526496250874
Embestidas mediáticas racistas,negrx,1.4795856475830078,-2.3352110140371485
Las cicatrices del odio racial: Un fallo que no borra la realidad,negrx,1.3938106298446655,-2.4292460626280437
Impresionante incendio en una pañalera de Lomas del Mirador: colapsó el techo y evacúan a los vecinos,sociedad,4.398708343505859,2.074417494737882
"Con dos nuevas obras, Vicente López continúa avanzando con su Plan de Costa 100% pública",sociedad,4.61184549331665,2.326540087074233
"Lentillas infrarrojas que permiten ver en la oscuridad, incluso con los ojos cerrados",sociedad,4.343435287475586,2.00903430750339
Un gran avance para curar enfermedades virales,sociedad,4.63612174987793,2.355256773686049
Alemania recuerda la liberación de Dachau con la promesa de defender democracia y memoria,sociedad,4.489304065704346,2.1815843042572136
"Por tercer año consecutivo, la mejor parrilla del mundo es argentina",sociedad,4.6248369216918945,2.341907809702721
Las fotos del apagón en España,sociedad,4.651973724365234,2.3740082719815687
Feria del Libro 2025: cuándo empieza y cómo se consiguen las entradas,sociedad,4.441998481750488,2.1256259390964747
Un adolescente fue detenido por organizar peleas callejeras,sociedad,4.6080322265625,2.3220293262792246
Semana Santa 2025: qué días son feriados y cómo se pagan,sociedad,4.452970027923584,2.138604317880063
Crean una mano robotizada con IA que transforma el agro y las prótesis accesibles,sociedad,4.476629257202148,2.166591115224811
Los yaguaretés reintroducidos sobrevivirán a largo plazo,sociedad,4.606630325317383,2.3203709998146347
Cómo funcionan los servicios públicos en CABA durante el feriado del lunes 24 de marzo,sociedad,4.476192474365234,2.166074439360333
Fin de semana largo: cómo estará el tiempo en la Ciudad,sociedad,4.408472061157227,2.0859671181014683
Reconstruyeron la tragedia,sociedad,4.338922023773193,2.003695511589328
La ayuda del Ministerio de Salud para Bahía Blanca,sociedad,4.399102687835693,2.0748839695631256
Sancor Seguros en la Fiesta Nacional de la Vendimia,sociedad,4.575766086578369,2.2838613069324873
Un grito feminista atravesó las calles,sociedad,4.350188732147217,2.017023041421073
Un impresionante temporal dejó a Bahía Blanca bajo el agua,sociedad,4.5688676834106445,2.2757010998021396
Santalla entregó 2000 kits escolares a clubes de barrio de Avellaneda que integran FADI,sociedad,4.347735404968262,2.0141209701080407
El pedido del papá de Lian en medio de los operativos de rastrillaje,sociedad,4.558493614196777,2.2634294839641744
El iceberg más grande del mundo encalla en aguas poco profundas cerca de Georgia del Sur,sociedad,4.4367356300354,2.119400446174815
Ingentes esfuerzos para contener el nuevo incendio al norte de Los Ángeles,sociedad,4.458832740783691,2.1455393940304486
"Cromañón, en este día y cada día",sociedad,4.636918544769287,2.3561993122990863
Notre Dame de París celebra sus primeras misas navideñas desde el incendio de 2019,sociedad,4.6122145652771,2.3269766668985845
